id,date,forecast
FOODS_1_004_CA_1,2016-03-28,0.0
FOODS_1_004_TX_1,2016-03-28,0.0
FOODS_1_004_WI_1,2016-03-28,0.0
FOODS_1_012_TX_1,2016-03-28,7.0
FOODS_1_012_WI_1,2016-03-28,0.0
FOODS_1_018_CA_1,2016-03-28,11.0
FOODS_1_018_TX_1,2016-03-28,9.0
FOODS_1_018_WI_1,2016-03-28,5.0
FOODS_1_019_WI_1,2016-03-28,5.0
FOODS_1_021_CA_1,2016-03-28,1.0
FOODS_1_021_WI_1,2016-03-28,0.0
FOODS_1_032_TX_1,2016-03-28,3.0
FOODS_1_032_WI_1,2016-03-28,2.0
FOODS_1_042_TX_1,2016-03-28,3.0
FOODS_1_043_CA_1,2016-03-28,0.0
FOODS_1_043_TX_1,2016-03-28,0.0
FOODS_1_043_WI_1,2016-03-28,0.0
FOODS_1_046_CA_1,2016-03-28,4.0
FOODS_1_046_WI_1,2016-03-28,6.0
FOODS_1_082_WI_1,2016-03-28,13.0
FOODS_1_085_CA_1,2016-03-28,3.0
FOODS_1_085_TX_1,2016-03-28,4.0
FOODS_1_085_WI_1,2016-03-28,17.0
FOODS_1_086_CA_1,2016-03-28,4.0
FOODS_1_096_TX_1,2016-03-28,6.0
FOODS_1_096_WI_1,2016-03-28,16.0
FOODS_1_099_CA_1,2016-03-28,3.0
FOODS_1_099_TX_1,2016-03-28,7.0
FOODS_1_099_WI_1,2016-03-28,2.0
FOODS_1_110_CA_1,2016-03-28,0.0
FOODS_1_110_TX_1,2016-03-28,0.0
FOODS_1_110_WI_1,2016-03-28,0.0
FOODS_1_129_TX_1,2016-03-28,6.0
FOODS_1_161_CA_1,2016-03-28,24.0
FOODS_1_161_WI_1,2016-03-28,4.0
FOODS_1_162_CA_1,2016-03-28,2.0
FOODS_1_162_TX_1,2016-03-28,6.0
FOODS_1_163_CA_1,2016-03-28,0.0
FOODS_1_173_CA_1,2016-03-28,0.0
FOODS_1_173_WI_1,2016-03-28,3.0
FOODS_1_184_TX_1,2016-03-28,0.0
FOODS_1_200_CA_1,2016-03-28,14.0
FOODS_1_200_TX_1,2016-03-28,0.0
FOODS_1_200_WI_1,2016-03-28,7.0
FOODS_1_204_WI_1,2016-03-28,25.0
FOODS_1_218_CA_1,2016-03-28,8.0
FOODS_1_218_TX_1,2016-03-28,2.0
FOODS_1_218_WI_1,2016-03-28,6.0
FOODS_2_002_WI_1,2016-03-28,3.0
FOODS_2_013_TX_1,2016-03-28,2.0
FOODS_2_016_CA_1,2016-03-28,2.0
FOODS_2_016_WI_1,2016-03-28,2.0
FOODS_2_019_CA_1,2016-03-28,20.0
FOODS_2_050_WI_1,2016-03-28,4.0
FOODS_2_056_WI_1,2016-03-28,2.0
FOODS_2_065_WI_1,2016-03-28,3.0
FOODS_2_099_WI_1,2016-03-28,0.0
FOODS_2_128_CA_1,2016-03-28,21.0
FOODS_2_128_WI_1,2016-03-28,8.0
FOODS_2_131_CA_1,2016-03-28,8.0
FOODS_2_136_WI_1,2016-03-28,2.0
FOODS_2_151_WI_1,2016-03-28,1.0
FOODS_2_152_TX_1,2016-03-28,7.0
FOODS_2_152_WI_1,2016-03-28,6.0
FOODS_2_175_TX_1,2016-03-28,8.0
FOODS_2_175_WI_1,2016-03-28,0.0
FOODS_2_181_CA_1,2016-03-28,1.0
FOODS_2_181_TX_1,2016-03-28,7.0
FOODS_2_183_TX_1,2016-03-28,5.0
FOODS_2_183_WI_1,2016-03-28,2.0
FOODS_2_184_TX_1,2016-03-28,2.0
FOODS_2_197_CA_1,2016-03-28,19.0
FOODS_2_197_TX_1,2016-03-28,7.0
FOODS_2_204_CA_1,2016-03-28,10.0
FOODS_2_204_TX_1,2016-03-28,17.0
FOODS_2_204_WI_1,2016-03-28,3.0
FOODS_2_222_CA_1,2016-03-28,0.0
FOODS_2_222_WI_1,2016-03-28,7.0
FOODS_2_241_CA_1,2016-03-28,2.0
FOODS_2_241_WI_1,2016-03-28,9.0
FOODS_2_244_CA_1,2016-03-28,1.0
FOODS_2_247_WI_1,2016-03-28,1.0
FOODS_2_257_WI_1,2016-03-28,3.0
FOODS_2_276_CA_1,2016-03-28,13.0
FOODS_2_276_TX_1,2016-03-28,2.0
FOODS_2_293_CA_1,2016-03-28,15.0
FOODS_2_294_WI_1,2016-03-28,9.0
FOODS_2_299_CA_1,2016-03-28,2.0
FOODS_2_307_WI_1,2016-03-28,1.0
FOODS_2_322_WI_1,2016-03-28,8.0
FOODS_2_325_CA_1,2016-03-28,2.0
FOODS_2_325_WI_1,2016-03-28,2.0
FOODS_2_326_TX_1,2016-03-28,1.0
FOODS_2_326_WI_1,2016-03-28,1.0
FOODS_2_347_CA_1,2016-03-28,0.0
FOODS_2_347_TX_1,2016-03-28,4.0
FOODS_2_359_CA_1,2016-03-28,8.0
FOODS_2_360_CA_1,2016-03-28,11.0
FOODS_2_360_TX_1,2016-03-28,1.0
FOODS_2_360_WI_1,2016-03-28,18.0
FOODS_2_364_WI_1,2016-03-28,4.0
FOODS_2_368_TX_1,2016-03-28,5.0
FOODS_2_371_CA_1,2016-03-28,0.0
FOODS_2_380_WI_1,2016-03-28,6.0
FOODS_2_398_WI_1,2016-03-28,8.0
FOODS_3_002_WI_1,2016-03-28,0.0
FOODS_3_007_CA_1,2016-03-28,0.0
FOODS_3_007_TX_1,2016-03-28,11.0
FOODS_3_007_WI_1,2016-03-28,6.0
FOODS_3_020_CA_1,2016-03-28,1.0
FOODS_3_024_CA_1,2016-03-28,2.0
FOODS_3_030_CA_1,2016-03-28,9.0
FOODS_3_030_TX_1,2016-03-28,6.0
FOODS_3_030_WI_1,2016-03-28,2.0
FOODS_3_039_WI_1,2016-03-28,8.0
FOODS_3_042_TX_1,2016-03-28,3.0
FOODS_3_042_WI_1,2016-03-28,13.0
FOODS_3_064_CA_1,2016-03-28,19.0
FOODS_3_069_TX_1,2016-03-28,0.0
FOODS_3_070_TX_1,2016-03-28,8.0
FOODS_3_070_WI_1,2016-03-28,4.0
FOODS_3_076_TX_1,2016-03-28,4.0
FOODS_3_077_CA_1,2016-03-28,0.0
FOODS_3_077_TX_1,2016-03-28,0.0
FOODS_3_077_WI_1,2016-03-28,0.0
FOODS_3_080_CA_1,2016-03-28,17.0
FOODS_3_080_TX_1,2016-03-28,1.0
FOODS_3_080_WI_1,2016-03-28,10.0
FOODS_3_086_CA_1,2016-03-28,1.0
FOODS_3_086_TX_1,2016-03-28,13.0
FOODS_3_087_CA_1,2016-03-28,8.0
FOODS_3_087_TX_1,2016-03-28,3.0
FOODS_3_090_CA_1,2016-03-28,40.0
FOODS_3_090_TX_1,2016-03-28,30.0
FOODS_3_090_WI_1,2016-03-28,13.0
FOODS_3_097_CA_1,2016-03-28,12.0
FOODS_3_099_CA_1,2016-03-28,18.0
FOODS_3_099_TX_1,2016-03-28,8.0
FOODS_3_099_WI_1,2016-03-28,6.0
FOODS_3_101_WI_1,2016-03-28,4.0
FOODS_3_107_CA_1,2016-03-28,0.0
FOODS_3_109_TX_1,2016-03-28,5.0
FOODS_3_120_CA_1,2016-03-28,18.0
FOODS_3_120_TX_1,2016-03-28,15.0
FOODS_3_120_WI_1,2016-03-28,8.0
FOODS_3_127_CA_1,2016-03-28,6.0
FOODS_3_131_WI_1,2016-03-28,5.0
FOODS_3_133_CA_1,2016-03-28,8.0
FOODS_3_133_TX_1,2016-03-28,4.0
FOODS_3_133_WI_1,2016-03-28,0.0
FOODS_3_135_CA_1,2016-03-28,6.0
FOODS_3_135_TX_1,2016-03-28,10.0
