feature,gain,split
roll_mean_7,8456002.318632126,2687
roll_mean_28,2379931.143006325,2695
item_id,1387393.95890522,10900
roll_max_7,999887.9753198624,1448
wday,609861.7083311081,2190
roll_std_7,309925.4136123657,2915
lag_7,146203.02767944336,1799
month,144799.87153434753,2129
roll_std_28,112486.99794387817,2223
lag_28,110074.03999996185,1596
lag_14,109555.32780742645,1548
roll_max_28,80867.67794895172,1614
sell_price,73933.66244602203,1089
price_chg_4w,55959.38896083832,745
store_id,45821.46004104614,783
snap,39643.459513664246,536
has_event,33033.21133899689,346
dept_id,17013.014018058777,270
cat_id,9826.964866638184,146
state_id,6476.997091293335,118
promo,2790.649616241455,23
price_missing,0.0,0
